seller_id,order_id,order_item_id,product_id,shipping_limit_date,price,freight_value,year,month,seller_zip_code_prefix,seller_city,seller_state
3340ef1913fb70d28420f6ceb685c339,cfe9a2c324eefb180663116644e4f171,1,99b89f140f651db441848081814dd1a1,2017-02-03T14:07:53.000Z,195.9,6.0,2017,2,87040,maringa,PR
3340ef1913fb70d28420f6ceb685c339,cfe9a2c324eefb180663116644e4f171,2,99b89f140f651db441848081814dd1a1,2017-02-03T14:07:53.000Z,195.9,6.0,2017,2,87040,maringa,PR
3340ef1913fb70d28420f6ceb685c339,cfe9a2c324eefb180663116644e4f171,3,99b89f140f651db441848081814dd1a1,2017-02-03T14:07:53.000Z,195.9,6.0,2017,2,87040,maringa,PR
4a3ca9315b744ce9f8e9374361493884,cfea19cacc7328f2fccb914fb0fd5fe2,1,39342c8e5e512bb1757779a3821a450f,2017-06-02T20:02:34.000Z,210.0,12.97,2017,6,14940,ibitinga,SP
4a3ca9315b744ce9f8e9374361493884,cfea19cacc7328f2fccb914fb0fd5fe2,2,39342c8e5e512bb1757779a3821a450f,2017-06-02T20:02:34.000Z,210.0,12.97,2017,6,14940,ibitinga,SP
3d871de0142ce09b7081e2b9d1733cb1,cfea2c141cacb975b65831b7ffd6d194,1,7d018f8e4f93213ba7ad276e25fe20b1,2017-11-17T15:50:36.000Z,19.9,25.63,2017,11,13232,campo limpo paulista,SP
d13e50eaa47b4cbe9eb81465865d8cfc,cfea8d218fdcd01ec074136ce618bda9,1,73326828aa5efe1ba096223de496f596,2018-08-21T02:10:08.000Z,81.9,8.73,2018,8,9210,santo andre,SP
723cd880edaacdb998898b67c8f9da30,cfeabbe55161aacebc485e4fed2ec234,1,48ef156012e010507e2e96a9ef9e79f0,2018-04-02T12:55:21.000Z,306.59,105.32,2018,4,14940,ibitinga,SP
8b321bb669392f5163d04c59e235e066,cfead345fd39589372b7ac0c255c0712,1,2e830c73f28d3b8542af03cf2637dfc4,2018-04-19T12:55:44.000Z,11.6,7.39,2018,4,1212,sao paulo,SP
59417c56835dd8e2e72f91f809cd4092,cfeadbadadd7a16f2f95fc7a556f16fe,1,6c34d241bbd85d693f1fee6a4b8a8e2b,2017-06-08T21:23:12.000Z,845.0,66.65,2017,6,13480,limeira,SP
